state,year,gdp,pop,unemp_rate,poverty_rate,gdp_per_capita
AL,2000,119851.7,4452.173,4.6,14.6,26919.820950353904
AL,2001,122915.5,4467.634,5.2,15.7,27512.4372318771
AL,2002,127505,4480.089,5.9,15.4,28460.372104214894
AL,2003,134152.6,4503.491,6,15.3,29788.579570826278
AL,2004,147715.2,4530.729,5.6,16.1,32602.965218180125
AL,2005,158846.8,4569.805,4.4,16.9,34760.08276064295
AL,2006,166469,4628.981,4,16.6,35962.34246802914
AL,2007,172975.2,4672.84,4.1,16.6,37017.14588986569
AL,2008,174526.3,4718.206,5.8,15.9,36989.97034042176
AL,2009,170930.9,4757.938,10.1,17.5,35925.41558969452
AL,2010,177249.2,4785.514,10.4,18.9,37038.69636574044
AL,2011,183916.6,4799.642,9.6,19.1,38318.816278380764
AL,2012,189245.5,4816.632,8.2,19,39290.00596267267
AL,2013,194786.9,4831.586,7.3,18.9,40315.312611635185
AL,2014,197406.9,4843.737,6.7,19.2,40755.08228460794
AL,2015,202372.4,4854.803,6.1,18.5,41684.98701183138
AL,2016,207368.4,4866.824,5.9,17.2,42608.56772301608
AL,2017,214606.3,4877.989,4.5,16.9,43994.8306566497
AL,2018,223859.3,4891.628,3.9,16.8,45763.76208493369
AL,2019,231561.9,4907.965,3.2,15.6,47180.8376791603
AL,2020,230892.1,5024.803,6.5,14.9,45950.478058542794
AK,2000,26806.6,627.963,6.3,8.5,42688.18385796615
AK,2001,28494.1,633.714,6.3,8.7,44963.658685148184
AK,2002,29756.8,642.337,7.2,9.3,46325.83830606053
AK,2003,32037.9,648.414,7.7,9.8,49409.63643598072
AK,2004,35302.4,659.286,7.4,10,53546.41233091557
AK,2005,40356.6,666.946,6.9,10.8,60509.54650001649
AK,2006,45094.1,675.302,6.6,10.9,66776.19790849132
AK,2007,49583.7,680.3,6.3,9.8,72885.05071292077
AK,2008,55122.5,687.455,6.5,9.2,80183.43018815777
AK,2009,49957.8,698.895,8,9.1,71481.12377395746
AK,2010,53331.6,713.982,8.2,11,74696.00073951445
AK,2011,56896.3,722.349,7.8,10.8,78765.6659038775
AK,2012,58283.6,730.81,7.2,10.8,79752.05593793189
AK,2013,57247.7,737.626,7,10.1,77610.74040231771
AK,2014,56484.9,737.075,6.7,11.4,76633.85679883322
AK,2015,51490.9,738.43,6.3,10.4,69730.23847893505
AK,2016,50727.7,742.575,6.6,9.9,68313.2343534323
AK,2017,53301.5,740.983,6.5,11,71933.49914910329
AK,2018,54899.6,736.624,6,11.1,74528.66048350312
AK,2019,54728.2,733.603,5.5,10.2,74601.930471931
AK,2020,50475.2,732.441,8.2,9.6,68913.67359282181
AZ,2000,165110.7,5160.586,4,12.5,31994.56418321485
AZ,2001,171909.6,5273.477,4.7,13.2,32598.909599871207
AZ,2002,180522.3,5396.255,6.2,13.6,33453.25600810191
AZ,2003,193634.9,5510.364,5.8,13.9,35140.128673895226
AZ,2004,206541.1,5652.404,5,14.6,36540.3994477394
AZ,2005,227915.9,5839.077,4.7,14.4,39032.864269472724
AZ,2006,245957,6029.141,4.3,14.2,40794.70027322301
AZ,2007,261392,6167.681,3.8,14.1,42380.920803134926
AZ,2008,262926,6280.362,5.8,14.7,41864.784227405995
AZ,2009,246424.3,6343.154,9.7,16.5,38848.85973129455
AZ,2010,251153,6407.342,10.3,17.6,39197.68915097711
AZ,2011,260915.7,6473.416,9.4,19,40305.72112158403
AZ,2012,271440,6556.344,8.3,18.7,41401.122332812316
AZ,2013,278591.6,6634.69,7.8,18.6,41990.14573401319
AZ,2014,287666.6,6732.873,6.8,18.2,42725.68337469012
AZ,2015,299393.3,6832.81,6.1,17.4,43817.00940023211
AZ,2016,313081.4,6944.767,5.5,16.4,45081.627648558984
AZ,2017,332001.8,7048.088,5,14.9,47105.229106106504
AZ,2018,351879.5,7164.228,4.8,14.1,49116.178323749606
AZ,2019,372393.5,7291.843,4.9,13.5,51069.873555972066
AZ,2020,382072.3,7177.986,7.7,12.8,53228.3428805796
AR,2000,68678.5,2678.588,4.2,15,25639.814708346337
AR,2001,70616.7,2691.571,4.8,15.9,26236.238984593012
AR,2002,74113.9,2705.927,5.3,16.3,27389.467639001345
AR,2003,78695.1,2724.816,5.8,16,28880.885902020545
AR,2004,85199.6,2749.686,5.6,15.6,30985.210674964343
AR,2005,90887.7,2781.097,5.3,17.2,32680.52139137901
AR,2006,95875.1,2821.761,5.2,17.3,33977.04483122419
AR,2007,98381.6,2848.65,5.4,17.6,34536.218910712094
AR,2008,99706.8,2874.554,5.4,17.3,34686.006942294356
AR,2009,97508.1,2896.843,7.7,18.5,33660.12586805706
AR,2010,101486.5,2921.998,7.9,18.7,34731.88551121527
AR,2011,105768.1,2941.038,7.9,19.3,35962.84713084292
AR,2012,108492.1,2952.876,7.3,19.6,36741.163530063575
AR,2013,113227.3,2960.459,7.1,19.4,38246.53541900091
AR,2014,116139.4,2968.759,5.9,18.7,39120.5214030509
AR,2015,117786.8,2979.732,5,18.7,39529.32679851745
AR,2016,119152.4,2991.815,4,17.2,39826.125612713346
AR,2017,122466.7,3003.855,3.7,16.3,40769.8440836858
AR,2018,127535.7,3012.161,3.6,16.8,42340.26667233259
AR,2019,131578.3,3020.985,3.5,16,43554.7677330407
AR,2020,133969.1,3012.232,6.1,15.2,44475.02715594284
CA,2000,1356975.4,33987.977,4.9,12.7,39925.15941740222
CA,2001,1375761.3,34479.458,5.5,12.9,39900.89693405274
CA,2002,1418429.6,34871.843,6.8,13.3,40675.49856771264
CA,2003,1497918.7,35253.159,6.9,13.7,42490.33966005713
CA,2004,1588177.4,35574.576,6.2,13.2,44643.60727728701
CA,2005,1698560.4,35827.943,5.4,13.3,47408.817190537564
CA,2006,1812210,36021.202,4.9,13.1,50309.537144262984
CA,2007,1898902,36250.311,5.3,12.4,52383.05403779846
CA,2008,1944695.3,36604.337,7.3,13.3,53127.45590775213
CA,2009,1890165.9,36961.229,11.5,14.2,51139.15178523961
CA,2010,1954092.7,37319.55,12.5,15.8,52361.10028121989
CA,2011,2023500,37636.311,11.9,16.6,53764.56794609864
CA,2012,2113096.4,37944.551,10.5,17,55689.060597923526
CA,2013,2220389.9,38253.768,9,16.8,58043.691277680155
CA,2014,2335286.5,38586.706,7.6,16.4,60520.49376798321
CA,2015,2473555.9,38904.296,6.3,15.4,63580.533625386764
CA,2016,2569634,39149.186,5.5,14.4,65636.97135363173
CA,2017,2728743.1,39337.785,4.8,13.3,69366.97376326603
CA,2018,2897200.7,39437.463,4.3,12.8,73463.16115719714
CA,2019,3042694.1,39437.61,4.1,11.8,77152.0916201565
CA,2020,3020173.4,39499.738,10.2,11.5,76460.59323228928
CO,2000,180063.2,4326.921,2.7,8.9,41614.6261972428
CO,2001,186695.8,4425.687,3.8,8.7,42184.591906296126
CO,2002,190019,4490.406,5.7,9.5,42316.6635711782
CO,2003,196126.5,4528.732,6.1,10,43307.15529203318
CO,2004,204167.2,4575.013,5.6,10.2,44626.5835747352
CO,2005,220783.7,4631.888,5.1,10.9,47666.027330539946
CO,2006,232646.7,4720.423,4.2,11.6,49285.13821748602
CO,2007,248446.5,4803.868,3.7,11.5,51718.011402478165
CO,2008,258871.7,4889.73,4.9,11.2,52941.92112856948
CO,2009,251227.7,4972.195,7.9,12.6,50526.51796641122
CO,2010,258300.2,5047.539,9.2,13.2,51173.49266642616
CO,2011,267516.1,5121.9,8.7,13.4,52229.85610808489
CO,2012,276823.1,5193.66,8,13.6,53300.196778379795
CO,2013,292140.5,5270.774,6.7,12.9,55426.4895440404
CO,2014,309542.6,5352.637,5,12.1,57829.925698305335
CO,2015,320721.1,5454.328,3.7,11.5,58801.212541673325
CO,2016,329911.7,5543.844,3.1,11,59509.55690672393
CO,2017,349156.5,5617.421,2.6,10.3,62156.01429908849
CO,2018,372212.1,5697.155,3,9.7,65332.977600223276
CO,2019,394534.7,5758.486,2.6,9.4,68513.6162526053
CO,2020,391263.3,5784.308,6.9,9,67642.19678481852
CT,2000,165614.3,3411.777,2.1,7.3,48541.94749539609
CT,2001,171216.6,3432.835,2.9,7.1,49876.1519269059
CT,2002,173248.3,3458.749,4.4,7.8,50089.87353520015
CT,2003,178702.2,3484.336,5.5,8,51287.30409466826
CT,2004,195354.9,3496.094,5.1,9.1,55878.045613190036
CT,2005,205214.6,3506.956,4.8,8.3,58516.44560125647
CT,2006,219768.4,3517.46,4.4,8.3,62479.28903242681
CT,2007,234540.7,3527.27,4.5,7.9,66493.54883521817
CT,2008,238936.8,3545.579,5.6,9.1,67390.06520514702
CT,2009,233290.7,3561.807,8.3,9.3,65497.84982734887
CT,2010,234700,3579.173,9.6,10.1,65573.8071336591
CT,2011,233158.7,3588.632,9,10.8,64971.47102294133
CT,2012,240911.9,3595.211,8.4,10.6,67009.11295609632
CT,2013,241517.4,3595.792,8,10.7,67166.67704917303
CT,2014,246597,3595.697,6.6,10.8,68581.14017949787
CT,2015,259487.8,3588.561,5.6,10.6,72309.70854334091
CT,2016,263670.3,3579.83,4.8,9.9,73654.41934393533
CT,2017,271443.2,3575.324,4.4,9.7,75921.28713369754
CT,2018,279923,3574.561,3.9,10.3,78309.75607913811
CT,2019,288536.3,3566.022,3.5,9.9,80912.65281033039
CT,2020,276223.3,3600.26,7.8,9.7,76723.1533278152
DE,2000,43451.3,786.373,3.6,8.7,55255.33048566011
DE,2001,46096.1,795.699,3.6,8.4,57931.57965512084
DE,2002,45508.3,806.169,4.3,9.3,56450.07436406014
DE,2003,47686.1,818.003,4.5,9,58295.75197156978
DE,2004,51353.7,830.803,4.3,9.6,61812.12634042005
DE,2005,52153.5,845.15,4.5,10.3,61709.164053718276
DE,2006,55174.4,859.268,3.9,10.7,64210.933026715764
DE,2007,56612.8,871.749,3.6,10.3,64941.62884041164
DE,2008,55459.8,883.874,5,10.3,62746.27379015561
DE,2009,57849.7,891.73,8.4,11.2,64873.560382627016
DE,2010,58163.5,899.647,8.7,11.9,64651.46885389491
DE,2011,61372.2,907.59,7.6,12.6,67621.06237397944
DE,2012,62354.6,915.518,7.1,12.7,68108.5462000747
DE,2013,61716.2,924.062,6.6,12.9,66787.94280037486
DE,2014,68354.7,933.131,5.6,13,73253.05878810157
DE,2015,71913.9,942.065,4.8,12.6,76336.45236793639
DE,2016,69355,949.989,4.5,11.8,73006.10849178252
DE,2017,68302.5,957.942,4.5,13,71301.28963966503
DE,2018,72168.3,966.985,3.8,12.2,74632.2848854946
DE,2019,76923.7,976.668,3.7,11.2,78761.36005275078
DE,2020,75818.6,991.886,7.6,10.9,76438.82462299097
DC,2000,61092.9,572.046,5.7,16.3,106797.18064631167
DC,2001,65442.9,574.504,6.5,17.5,113912.00061270242
DC,2002,69919.5,573.158,7,17.2,121989.92249955509
DC,2003,73957.1,568.502,7.3,17.5,130091.18701429373
DC,2004,80140.1,567.754,8.1,18.3,141152.85845630325
